Description,Amount,Label
Paid for a luxury home renovation,10000,
Purchased a premium bicycle,8500,
Subscribed to a fine wine tasting experience,25,
Bought a custom-designed rug,9500,
Paid for a luxury massage therapist,7000,
Purchased a high-end garden furniture set,8000,
Subscribed to a luxury chocolate delivery service,30,
Bought a designer outdoor patio set,9000,
Paid for a luxury yacht charter,12000,
Purchased a high-end personal fitness tracker,7500,
Subscribed to an exclusive clothing service,25,
Bought a luxury designer wine cabinet,9500,
Paid for a custom-built outdoor dining area,10000,
Purchased a premium home security system,8500,
Subscribed to a gourmet coffee service,35,
Bought a high-end massage chair,7000,
Paid for a luxury home cleaning service,8500,
Purchased a designer kitchen appliance,9500,
Subscribed to a fine dining club service,30,
Bought a custom-made wardrobe,8000,
Paid for a luxury vacation package,12000,
Purchased a high-end designer patio,9000,
Subscribed to a luxury fitness meal plan,25,
Bought a custom-designed leather chair,7000,
Paid for a luxury personal concierge service,9500,
Purchased a high-end gym equipment set,10000,
Subscribed to a gourmet snack box,30,
Bought a premium designer table,8500,
Paid for a luxury backyard makeover,12000,
Purchased a high-end custom bookshelf,9500,
Subscribed to an exclusive pet care service,25,
Bought a luxury leather jacket,7000,
Paid for a designer lighting system,8000,
Purchased a high-end entertainment unit,9500,
Subscribed to a private restaurant service,40,
Bought a custom-made garden bench,7500,
Paid for a luxury fitness retreat,10000,
Purchased a high-end designer sofa,8500,
Subscribed to a premium cocktail service,30,
Bought a custom-built outdoor grill,9500,
Paid for a luxury yacht rental,12000,
Purchased a designer office chair,7000,
Subscribed to a fine chocolate club,25,
Bought a high-end leather sofa set,8500,
Paid for a custom-built wardrobe,9500,
Purchased a premium outdoor hammock,7000,
Subscribed to a luxury gourmet box service,30,
Bought a designer bathroom set,8000,
Paid for a custom home office design,9500,
Purchased a high-end luxury chandelier,10000,
Subscribed to a luxury perfume delivery service,25,
Bought a custom-made coffee table,7000,
Paid for a luxury outdoor living area,8500,
Purchased a high-end massage therapy package,9500,
Subscribed to an exclusive culinary club,30,
Bought a luxury leather handbag,12000,
Paid for a custom outdoor kitchen,10000,
Purchased a high-end designer rug,9500,
Subscribed to a gourmet spice box,25,
Bought a custom-built bookshelf,7500,
Paid for a luxury travel package,8500,
Purchased a premium leather desk chair,7000,
Subscribed to a fine wine subscription service,30,
Bought a designer home decor item,9500,
Paid for a custom-designed fireplace,8000,
Purchased a high-end home entertainment system,10000,
Subscribed to an exclusive dessert club,25,
Bought a custom-built outdoor patio,7000,
Paid for a designer landscaping service,9500,
Purchased a high-end designer chair,8000,
Subscribed to a luxury snack subscription service,30,
Bought a luxury personal grooming kit,7500,
Paid for a custom-designed dining area,8500,
Purchased a premium kitchen remodel,12000,
Subscribed to a fine dining service,25,
Bought a custom-built leather chair,9500,
Paid for a luxury vacation home,10000,
Purchased a high-end outdoor furniture set,8000,
Subscribed to an exclusive pet subscription,30,
Bought a designer office desk,7000,
Paid for a custom home gym setup,8500,
Purchased a luxury designer table,9500,
Subscribed to a premium cocktail kit service,40,
Bought a high-end designer sofa set,8000,
Paid for a luxury art gallery visit,10000,
Purchased a premium bicycle,9500,
Subscribed to a luxury clothing delivery service,25,
Bought a designer home office furniture,7000,
Paid for a custom-designed patio,9500,
Purchased a high-end sound system,8500,
Subscribed to a fine dining box service,30,
Bought a luxury leather bag,8000,
Paid for a custom outdoor fireplace,10000,
Purchased a designer living room set,9500,
Subscribed to a premium chocolate subscription,25,
Bought a custom-designed lighting system,7000,
Paid for a luxury fitness center membership,8500,
Purchased a high-end garden furniture set,9500,
Subscribed to a luxury wine service,30,
Bought a high-end luxury villa,15000,
Paid for a custom-designed luxury pool,12000,
Purchased a designer yacht,20000,
Bought a luxury smart home automation system,9500,
Paid for a premium private jet charter,25000,
Bought a custom-built outdoor jacuzzi,12000,
Paid for a luxury safari tour,10000,
Bought a luxury mansion,30000,
Purchased a custom-made diamond necklace,15000,
Paid for a designer art installation,10000,
Bought a custom-made sports car,50000,
Purchased a luxury sound system for home theater,10000,
Paid for a high-end spa treatment,6000,
Bought a premium designer home appliance,7500,
Paid for a personal chef for a year,12000,
Bought a custom-designed luxury wardrobe,9000,
Purchased a high-end personal fitness equipment,8000,
Paid for a luxury outdoor kitchen,15000,
Bought a designer diamond bracelet,10000,
Paid for a luxury private island vacation,20000,
Purchased a high-end designer fountain,8000,
Bought a custom-made Italian leather sofa,10000,
Paid for a luxury vacation home rental,12000,
Purchased a high-end designer chandelier,9500,
Bought a designer kitchen remodel,12000,
Paid for a luxury home theatre system,15000,
Purchased a premium home security system,8000,
Bought a luxury custom closet system,7000,
Paid for a designer clothing collection,9000,
Purchased a high-end leather dining chair,8000,
Bought a luxury art piece,12000,
Paid for a custom-built garden gazebo,7000,
Bought a luxury private yacht,25000,
Paid for a high-end designer watch,9500,
Purchased a luxury fitness retreat,10000,
Bought a designer outdoor fire pit,6000,
Paid for a luxury wedding package,20000,
Purchased a high-end leather travel bag,7500,
Bought a designer pool table,8000,
Paid for a custom-designed wine cellar,9000,
Bought a luxury personal spa package,12000,
Purchased a designer leather jacket,7000,
Paid for a high-end home office redesign,10000,
Bought a luxury holiday villa,20000,
Paid for a custom-built home theater,9500,
Purchased a high-end spa experience,7000,
Bought a designer luxury rug,8000,
Paid for a custom-built dream home,30000,
Bought a high-end personal assistant service,15000,
Paid for a designer wedding gown,10000,
Purchased a luxury custom-made car,25000,
Bought a designer home renovation package,15000,
Paid for a high-end chef's kitchen,10000,
Purchased a custom luxury boat,18000,
Bought a designer outdoor lounge set,7000,
Paid for a luxury private villa experience,20000,
Bought a high-end personal styling session,6000,
Paid for a premium designer closet system,8000,
Purchased a luxury cruise ship vacation,25000,
Bought a high-end sound system for home theater,10000,
Paid for a luxury fitness gym membership,9000,
Bought a designer luxury lighting fixture,7500,
Paid for a custom-built designer mansion,35000,
Purchased a premium garden design package,7000,
Bought a high-end luxury recliner chair,8500,
Paid for a luxury chauffeur service,6000,
Bought a designer outdoor living space,12000,
Purchased a high-end smart mirror,7500,
Paid for a custom-designed leather sofa,9500,
Bought a luxury designer home appliance,8000,
Paid for a high-end VIP event ticket,7000,
Purchased a luxury customized wardrobe,9500,
Bought a designer kitchen island,8500,
Paid for a luxury high-tech fitness tracker,7000,
Bought a premium designer chair for office,8000,
Paid for a luxury personal shopping service,9500,
Purchased a high-end luxury wooden desk,10000,
Bought a designer luxury bicycle,8000,
Paid for a high-end private concert,20000,
Purchased a luxury home decor package,7500,
Bought a premium sound system for outdoor patio,9000,
Paid for a custom-designed leather couch,12000,
Purchased a designer luxury outdoor grill,8000,
Bought a high-end chef's knife set,6000,
Paid for a premium designer patio set,8500,
Purchased a luxury watch collection,15000,
Bought a designer high-tech coffee machine,7000,
Paid for a custom-designed luxury bath,10000,
Bought a high-end custom-made pool cover,8000,
Paid for a luxury interior designer service,9000,
Bought a luxury leather sofa set,8500,
Paid for a high-end designer kitchen gadget,7500,
Purchased a premium spa experience,8000,
Bought a custom-made luxury bicycle,9500,
Paid for a luxury home garden design,7000,
Bought a premium designer office set,10000,
Paid for a luxury private tour,12000,
Purchased a high-end designer bar,8500,
Bought a luxury personalized wedding package,15000,
Paid for a custom-built designer office,12000,
Purchased a designer custom-made coffee table,7000,
Bought a high-end outdoor patio furniture set,8000,
Paid for a luxury jewelry collection,12000,
Purchased a high-end home automation system,9500,
Bought a designer leather handbag,7500,
Paid for a high-end garden furniture set,8500,
Bought a luxury kitchen appliance,7000,
Paid for a custom luxury boat rental,10000,
Purchased a high-end designer office chair,8500,
Bought a premium sound system for office,7500,
Paid for a luxury island vacation,15000,
Bought a high-end designer sports watch,8000,
Paid for a luxury customized room design,9000,
Bought a set of high-quality kitchen knives,350,
Paid for a home cleaning service,100,
Purchased a new pair of sneakers,80,
Paid for a digital music album,10,
Bought a new Bluetooth speaker,120,
Paid for a fitness tracker,250,
Purchased a coffee maker,80,
Bought a monthly subscription for an online course,30,
Paid for a personalized mug,15,
Bought a yoga mat,40,
Paid for a new phone case,25,
Purchased a set of painting supplies,50,
Bought a portable charger,35,
Paid for a new pair of sunglasses,60,
Purchased a trendy backpack,90,
Bought a set of organic skincare products,80,
Paid for a subscription to a book club,20,
Bought a custom-made T-shirt,15,
Paid for an online cooking class,40,
Bought a set of decorative cushions,50,
Paid for a digital magazine subscription,25,
Purchased a stylish wall clock,30,
Bought a small houseplant,15,
Paid for a DIY home improvement kit,70,
Bought a travel pillow,20,
Paid for a seasonal fruit basket,40,
Purchased a new water bottle,15,
Bought a set of kitchen towels,25,
Paid for a candle-making kit,50,
Bought a small bookshelf,60,
Paid for a basic gardening tool set,30,
Purchased a winter jacket,120,
Bought a pair of running shoes,70,
Paid for a personal finance management app,100,
Bought a set of headphones,120,
Purchased a leather wallet,75,
Paid for a makeup brush set,40,
Bought a set of resistance bands,25,
Paid for a new cookbook,15,
Bought a trendy scarf,50,
Purchased a portable air purifier,150,
Bought a Bluetooth keyboard,100,
Paid for a flower delivery,30,
Purchased a personalized keychain,20,
Bought a new phone charger,15,
Paid for a set of skincare masks,30,
Purchased a coffee grinder,40,
Bought a vintage poster,60,
Paid for a mini projector,150,
Bought a high-quality water filter,120,
Paid for a self-care subscription box,50,
Purchased a set of mason jars,25,
Bought a pair of casual sneakers,70,
Paid for a custom phone wallpaper,10,
Purchased a ceramic teapot,35,
Bought a set of LED string lights,45,
Paid for a plant subscription box,40,
Bought a travel guidebook,20,
Paid for a set of drawing pencils,15,
Purchased a wireless mouse,25,
Bought a pack of fitness apparel,50,
Paid for a recipe subscription,30,
Purchased a set of bath bombs,20,
Bought a digital camera accessory,70,
Paid for an online fitness class,60,
Bought a pair of winter gloves,25,
Paid for a custom-made journal,40,
Purchased a portable speaker,100,
Bought a new umbrella,30,
Paid for a ticket to a local concert,50,
Purchased a portable gaming console,150,
Bought a reusable shopping bag,10,
Paid for a monthly subscription to an audiobook service,40,
Bought a hand-painted ceramic mug,30,
Paid for a basic online design tool subscription,20,
Purchased a set of garden pots,50,
Bought a stylish sunhat,25,
Paid for an online photography class,60,
Purchased a pair of sunglasses,50,
Bought a set of workout gloves,30,
Paid for a streaming service subscription,80,
Purchased a digital planner,15,
Bought a set of wool socks,20,
Paid for a subscription to an art magazine,35,
Purchased a DIY knitting kit,40,
Bought a custom-designed notebook,25,
Paid for a new pair of workout leggings,40,
Purchased a set of gourmet chocolates,30,
Bought a stylish watch strap,25,
Paid for a set of cooking utensils,35,
Purchased a personalized tote bag,20,
Bought a new set of towels,60,
Paid for a handmade bracelet,30,
Purchased a mini speaker,50,
Bought a small wall mirror,40,
Paid for a new pair of earphones,30,
Purchased a set of candles,20,
Bought a new fitness app subscription,50,
Paid for a floral arrangement,25,
Purchased a creative writing course,30,
Bought a cozy blanket,40,
Paid for a basic drawing tutorial,20,
Purchased a set of reusable straws,10,
Bought a custom-designed pen,15,
Paid for a new art supplies set,40,
Purchased a luxury tea sampler,50,
Bought a digital download of a movie,10,
Paid for a home delivery of organic fruits,30,
Bought a luxury designer watch,6000,
Paid for a custom-built home theater system,7000,
Purchased a new set of high-quality kitchen knives,300,
Paid for a personal finance management app,100,
Bought a pair of running shoes,100,
Paid for a subscription to an audiobook service,20,
Purchased a new phone case,15,
Paid for a digital magazine subscription,25,
Bought a yoga mat,40,
Purchased a portable charger,35,
Bought a stylish backpack,80,
Paid for a fitness tracker,150,
Purchased a set of painting supplies,50,
Bought a new Bluetooth speaker,120,
Paid for a new pair of sunglasses,60,
Bought a portable speaker,80,
Purchased a coffee maker,90,
Bought a set of kitchen towels,30,
Paid for a custom phone wallpaper,10,
Bought a trendy scarf,50,
Paid for an online fitness class,100,
Purchased a pair of winter gloves,25,
Bought a ceramic teapot,35,
Paid for a subscription to a book club,20,
Purchased a wireless mouse,25,
Bought a set of resistance bands,20,
Paid for a digital download of a movie,10,
Purchased a personalized keychain,10,
Bought a set of LED string lights,40,
Paid for a personal finance management app,75,
Bought a set of drawing pencils,15,
Paid for a handmade bracelet,30,
Bought a custom-made T-shirt,20,
Paid for a flower delivery,25,
Bought a stylish watch strap,30,
Purchased a pair of sunglasses,50,
Paid for a ticket to a local concert,50,
Bought a cozy blanket,40,
Paid for a streaming service subscription,80,
Bought a high-quality water filter,120,
Paid for a set of bath bombs,15,
Purchased a new set of towels,60,
Bought a new umbrella,20,
Paid for a set of skincare masks,30,
Bought a plant subscription box,40,
Paid for a seasonal fruit basket,30,
Purchased a digital planner,15,
Bought a stylish sunhat,25,
Paid for a mini projector,100,
Bought a hand-painted ceramic mug,30,
Paid for a set of cooking utensils,25,
Bought a new pair of earphones,30,
Paid for a custom-designed journal,40,
Bought a set of gourmet chocolates,35,
Paid for an online photography class,50,
Bought a set of workout gloves,30,
Purchased a leather wallet,75,
Bought a new fitness app subscription,50,
Paid for a creative writing course,30,
Bought a vintage poster,50,
Paid for a digital music album,10,
Bought a custom-designed pen,15,
Purchased a set of mason jars,25,
Bought a pair of casual sneakers,70,
Paid for a basic online design tool subscription,20,
Purchased a luxury tea sampler,50,
Bought a digital download of a movie,10,
Paid for a self-care subscription box,50,
Purchased a set of garden pots,50,
Bought a new art supplies set,40,
Paid for a makeup brush set,40,
Bought a mini speaker,50,
Paid for a floral arrangement,30,
Bought a custom-designed notebook,20,
Paid for a subscription to an art magazine,35,
Bought a set of bath towels,60,
Paid for a new phone charger,25,
Bought a new set of fitness apparel,50,
Paid for a basic drawing tutorial,20,
Bought a reusable shopping bag,10,
Paid for a home delivery of organic fruits,30,
Bought a custom-designed wallet,50,
Paid for a creative DIY knitting kit,40,
Bought a set of luxury candles,20,
Paid for a set of reusable straws,10,
Bought a custom phone case,15,
Paid for a digital planner,25,
Purchased a mini projector,100,
Bought a comfortable office chair,120,
Paid for an online cooking class,50,
Purchased a home decor item,80,
Bought a pair of shoes for running,100,
Paid for a new camera accessory,70,
Bought a stylish leather bag,150,
Paid for a subscription box of snacks,40,
Bought a decorative pillow,30,
Paid for a new set of gym clothes,60,
Purchased a portable fan,50,
Bought a pet grooming kit,40,
Paid for an online design class,30,
Purchased a new phone stand,20,
Bought a set of organic skincare products,50,
Paid for a home improvement tool set,70,
Bought a personalized mug,20,
Bought a gaming headset,550,
Paid for a laptop cooling pad,600,
Purchased a DSLR camera lens,750,
Bought a new tablet,1000,
Paid for a set of wireless headphones,800,
Bought a new smartwatch,1200,
Paid for a luxury wallet,500,
Bought a portable air conditioner,1100,
Purchased a fitness tracker,700,
Paid for a digital camera,900,
Bought a Bluetooth speaker,850,
Paid for a set of outdoor furniture,1300,
Bought a new home entertainment system,1200,
Paid for a designer backpack,800,
Bought a new pair of shoes,950,
Paid for a 6-month subscription to a streaming service,500,
Purchased a new microwave,700,
Bought a large smart TV,1500,
Paid for a coffee machine,900,
Bought a set of high-quality kitchen knives,600,
Paid for a digital camera,1200,
Purchased a designer handbag,1100,
Bought a set of home workout equipment,800,
Paid for a monthly gym membership,1000,
Purchased a portable projector,750,
Bought a set of luxury skincare products,950,
Paid for a camping tent,600,
Bought a massage chair,1500,
Paid for a new refrigerator,1300,
Purchased a luxury watch,1200,
Bought a full set of golf clubs,1000,
Paid for a professional camera tripod,550,
Bought a designer jacket,900,
Paid for a kitchen appliance bundle,1100,
Bought a pair of high-quality sunglasses,500,
Purchased a set of yoga equipment,650,
Bought a portable generator,1300,
Paid for a smart thermostat,700,
Purchased a smart home device,800,
Bought a pair of wireless earphones,600,
Paid for a tablet stand,500,
Purchased a stylish leather bag,900,
Bought a home projector system,1400,
Paid for a new gaming laptop,1500,
Purchased a high-end coffee grinder,750,
Bought a gaming chair,1200,
Paid for a treadmill,1300,
Bought a designer scarf,600,
Paid for a portable mini-fridge,800,
Purchased a fitness bike,1000,
Bought a new refrigerator,1100,
Paid for a subscription to a book service,500,
Bought a set of gaming controllers,600,
Purchased a professional blender,900,
Paid for a personal robot vacuum cleaner,1200,
Bought a custom home decor item,500,
Paid for a high-quality knife set,700,
Purchased a pair of boots,750,
Bought a premium gaming mouse,600,
Paid for a voice assistant device,550,
Bought a custom-made rug,850,
Paid for a set of designer pens,500,
Bought a top-tier air purifier,1200,
Paid for a new sound system,1300,
Bought a home projector for movie nights,1100,
Paid for a subscription to a video service,900,
Purchased a mini-fridge for the office,700,
Bought a kitchen appliance package,1000,
Paid for a professional-grade microphone,800,
Bought a high-end blender,850,
Paid for a portable cooler,600,
Bought a vintage lamp,500,
Paid for a portable hot tub,1200,
Bought a leather journal,550,
Paid for a subscription to an online language course,700,
Bought a gaming headset bundle,900,
Purchased a smartwatch with fitness features,1200,
Bought a photography lighting kit,850,
Paid for a luxury candle set,600,
Bought a set of hiking gear,800,
Paid for a pair of designer shoes,1000,
Purchased a tablet with accessories,1300,
Bought a new office desk,500,
Paid for a luxury bed sheet set,600,
Bought a professional-grade speaker system,1200,
Paid for a coffee subscription box,700,
Bought a drone with a camera,1100,
Paid for a home sound system,1300,
Purchased a new printer,850,
Bought a gaming keyboard,950,
Paid for a new set of outdoor furniture,1200,
Bought a set of luxury kitchen towels,500,
Paid for a premium air fryer,700,
Bought a new high-quality jacket,1000,
Purchased a set of snow boots,600,
Paid for a kitchen island,1300,
Bought a new desktop computer,1200,
Paid for a pair of smart sunglasses,700,
Bought a fitness tracker with heart rate monitor,800,
Paid for a new blender with extra accessories,850,
Bought a personalized leather keychain,500,
Paid for a digital pen tablet,600,
Bought a new gaming chair,1200,
Paid for a professional-grade camera gear,1000,
Purchased a portable game console,950,
Bought a luxury jewelry box,500,
Bought a premium soundbar,600,
Paid for a custom-made jacket,800,
Purchased a leather office chair,1100,
Bought a portable solar charger,550,
Paid for a new laptop bag,700,
Bought a fitness mat,500,
Purchased a smart lock,600,
Paid for a high-end Bluetooth speaker,750,
Bought a stylish desk lamp,500,
Paid for a premium kitchen blender,1000,
Bought a set of noise-cancelling headphones,950,
Paid for a monthly subscription to a book club,600,
Purchased a set of high-quality cooking pots,850,
Bought a personal air purifier,1200,
Paid for a subscription to an online course,500,
Bought a new backpack for work,650,
Purchased a pair of leather boots,700,
Paid for a designer makeup set,900,
Bought a professional camera bag,850,
Paid for a customized phone case,500,
Bought a new set of sheets,600,
Paid for a stylish wallet,700,
Purchased a personal assistant device,950,
Bought a set of LED lights,550,
Paid for a hiking backpack,800,
Bought a wireless charging station,650,
Purchased a portable espresso machine,1200,
Bought a set of stainless steel cooking utensils,700,
Paid for a new gym membership,950,
Bought a VR headset,1000,
Paid for a high-quality jacket,1200,
Bought a personalized canvas print,800,
Paid for an electric toothbrush,650,
Bought a yoga block and straps,500,
Paid for a compact gym set,700,
Bought a portable air cooler,800,
Purchased a set of cookware,850,
Bought a new pair of hiking shoes,950,
Paid for a premium fitness watch,1200,
Bought a luxury silk pillowcase,500,
Paid for a skincare bundle,700,
Bought a high-quality coffee grinder,800,
Purchased a set of luxury bathrobes,600,
Bought a new gaming chair,1000,
Paid for a personalized doormat,500,
Bought a home coffee bar setup,1200,
Paid for a set of premium sheets,950,
Bought a new smartwatch,900,
Purchased a personal sound system,850,
Bought a professional hairdryer,600,
Paid for a personalized pet tag,500,
Bought a set of luxury perfumes,700,
Paid for a set of premium towels,600,
Bought a home espresso machine,1100,
Purchased a wireless router,800,
Paid for a camera lens kit,1000,
Bought a folding bike,1200,
Purchased a smart home security system,950,
Bought a hiking tent,650,
Paid for a portable projector,700,
Bought a designer tote bag,850,
Paid for a high-end set of knives,950,
Bought a new TV stand,600,
Purchased a home gym equipment set,1100,
Bought a professional microphone,800,
Paid for a tablet with accessories,950,
Bought a waterproof Bluetooth speaker,850,
Paid for a new camera tripod,650,
Purchased a smart garden device,700,
Bought a luxury home fragrance set,500,
Paid for a set of resistance bands,600,
Bought a new gaming monitor,1200,
Paid for a high-end designer belt,850,
Bought a set of luxury silk sheets,900,
Paid for a smart scale,700,
Bought a new tablet,1000,
Purchased a designer coffee mug,500,
Bought a set of wireless headphones,600,
Paid for a new desk organizer,500,
Bought a high-end gaming mouse,750,
Paid for a set of luxury stationery,700,
Purchased a professional yoga mat,600,
Bought a set of travel bags,850,
Paid for a premium quality backpack,950,
Bought a high-quality blender,900,
Purchased a pair of Bluetooth earphones,600,
Paid for a set of luxury candles,500,
Bought a portable battery pack,600,
Purchased a new camera,950,
Bought a stylish office chair,800,
Paid for a high-quality mixer,1000,
Purchased a smart thermostat,700,
Bought a professional tool set,850,
Paid for a high-end video camera,1200,
Purchased a designer wristwatch,950,
Bought a portable speaker,650,
Paid for a new pair of running shoes,750,
Purchased a luxury tea set,500,
Bought a high-quality rug,900,
Paid for a set of designer furniture,1100,
Bought a comfortable sofa cover,600,
